Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Window Size,Threshold
"Method B (outlier_detection, average)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.4
"Method B (outlier_detection, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.4
"Method B (outlier_detection, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.4
"Method B (outlier_detection, median)",712,0.6445497630331753,0.0,0.0,0.0,0.0,712.0,6,0.4
"Method B (average, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.01
"Method B (average, minimum)",0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.01
"Method B (average, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.01
"Method B (average, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.01
"Method B (median, average)",727,0.671875,0.0,0.0,0.0,0.0,727.0,12,0.01
"Method B (median, minimum)",0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.01
"Method B (median, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.01
"Method B (median, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.01
"Method B (outlier_detection, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.01
"Method B (outlier_detection, minimum)",0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.01
"Method B (outlier_detection, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.01
"Method B (outlier_detection, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.01
"Method B (average, average)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.05
"Method B (average, minimum)",0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.05
"Method B (average, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.05
"Method B (average, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.05
"Method B (median, average)",719,0.6622596153846154,0.0,0.0,0.0,0.0,719.0,12,0.05
"Method B (median, minimum)",0,0.20192307692307693,0.20192307692307693,1.0,0.336,0.0,0.0,12,0.05
"Method B (median, maximum)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.05
"Method B (median, median)",-1,0.7980769230769231,0.0,0.0,0.0,0.0,,12,0.05
"Method B (outlier_detection, average)",728,0.6730769230769231,0.0,0.0,0.0,0.0,728.0,12,0.05
